station,season,n_blocks,block_max_mean,block_max_median,block_max_max,first_season_year,last_season_year
06225,S,34,25.779411764705884,25.0,41.0,1991,2025
06225,W,35,31.034285714285716,31.0,48.0,1991,2025
06235,S,34,22.43235294117647,22.8,28.0,1991,2025
06235,W,35,28.062857142857144,28.0,35.5,1991,2025
06240,S,34,22.673529411764704,22.0,36.0,1991,2025
06240,W,35,27.908571428571427,28.0,36.0,1991,2025
06260,S,34,18.83235294117647,18.0,25.0,1991,2025
06260,W,35,24.205714285714286,24.0,34.0,1991,2025
06269,S,34,20.591176470588238,19.5,29.0,1991,2025
06269,W,35,25.294285714285714,25.2,34.0,1991,2025
06270,S,34,20.423529411764704,20.0,28.8,1991,2025
06270,W,35,26.374285714285715,26.0,33.0,1991,2025
06273,S,34,19.061764705882354,19.0,26.0,1991,2025
06273,W,35,24.565714285714286,25.0,31.0,1991,2025
06275,S,34,20.09705882352941,19.75,30.0,1991,2025
06275,W,35,24.52285714285714,25.0,33.0,1991,2025
06277,S,34,22.944117647058825,23.0,30.0,1991,2025
06277,W,34,28.523529411764706,28.0,36.0,1992,2025
06280,S,34,19.75588235294118,19.25,27.0,1991,2025
06280,W,35,26.04,26.0,34.0,1991,2025
06283,S,34,19.31764705882353,18.5,29.0,1991,2025
06283,W,35,24.21142857142857,24.0,33.0,1991,2025
06286,S,34,20.435294117647057,21.0,26.0,1991,2025
06286,W,35,27.42285714285714,27.0,36.5,1991,2025
06290,S,34,18.947058823529414,19.0,25.0,1991,2025
06290,W,35,24.437142857142856,24.0,34.0,1991,2025
06310,S,34,23.61176470588235,23.35,30.0,1991,2025
06310,W,35,30.137142857142855,30.0,40.0,1991,2025
06319,S,33,19.672727272727276,19.5,24.0,1992,2025
06319,W,34,25.829411764705885,25.0,35.0,1992,2025
06320,S,34,24.323529411764707,23.55,30.0,1991,2025
06320,W,35,29.94,29.0,59.7,1991,2025
06330,S,34,25.058823529411764,24.6,33.0,1991,2025
06330,W,35,29.571428571428573,29.8,40.0,1991,2025
06343,S,34,21.56764705882353,21.0,26.0,1991,2025
06343,W,34,26.935294117647057,26.0,41.0,1992,2025
06344,S,34,21.552941176470586,21.0,35.0,1991,2025
06344,W,35,27.02857142857143,27.0,36.0,1991,2025
06348,S,34,20.58529411764706,20.0,35.0,1991,2025
06348,W,35,26.591428571428573,27.0,40.0,1991,2025
06350,S,34,18.591176470588238,18.0,25.2,1991,2025
06350,W,35,23.571428571428573,23.1,32.4,1991,2025
06356,S,34,19.873529411764707,20.0,24.0,1991,2025
06356,W,35,25.82857142857143,26.0,34.0,1991,2025
06370,S,34,20.50294117647059,19.5,32.0,1991,2025
06370,W,35,24.65714285714286,24.0,34.0,1991,2025
06375,S,34,20.141176470588235,19.0,34.0,1991,2025
06375,W,35,24.585714285714285,25.0,34.0,1991,2025
06380,S,34,20.823529411764707,20.05,32.0,1991,2025
06380,W,35,24.897142857142857,25.0,31.9,1991,2025
06391,S,34,19.102941176470587,19.0,29.0,1991,2025
06391,W,35,22.497142857142858,22.0,31.0,1991,2025
