design,measure,d0_km,bias,rmse,coverage,size_or_power
null,theta,50.0,-0.0005551457442349861,0.005558148463171962,1.0,0.0
null,theta,100.0,0.00021492428076652637,0.008918094917167961,1.0,0.0
null,theta,200.0,-0.0021128795950404733,0.01651494467212742,0.8333333333333334,0.0
null,chi_0.99,50.0,-0.03285411001270633,0.08702871481619397,0.8333333333333334,0.0
null,chi_0.99,100.0,-0.052281543538342135,0.11810707165332181,0.8333333333333334,0.0
null,chi_0.99,200.0,-0.06153249995097704,0.12348542706014488,0.8333333333333334,0.0
alternative,theta,50.0,0.0015601510248508532,0.007504435823221639,0.6666666666666666,1.0
alternative,theta,100.0,0.0032005179037148945,0.01067691065940944,0.8333333333333334,1.0
alternative,theta,200.0,0.004279803237800417,0.011140303924875526,1.0,1.0
alternative,chi_0.99,50.0,-0.000737397278764651,0.05158049312973122,1.0,0.16666666666666666
alternative,chi_0.99,100.0,-0.014698083249940153,0.08406418825514204,1.0,0.3333333333333333
alternative,chi_0.99,200.0,-0.016102482306739274,0.10161807864072828,1.0,0.16666666666666666
