station_id,stationname,lat,lon
06225,IJMUIDEN WP,52.4622,4.555
06235,DE KOOY VK,52.9269,4.7811
06240,AMSTERDAM/SCHIPHOL AP,52.3172,4.7897
06260,DE BILT AWS,52.0989,5.1797
06269,LELYSTAD AP,52.4483,5.5081
06270,LEEUWARDEN,53.2231,5.7517
06273,MARKNESSE AWS,52.7019,5.8875
06275,DEELEN,52.0547,5.8722
06280,GRONINGEN AP EELDE,53.1236,6.5847
06283,HUPSEL AWS,52.0678,6.6567
06286,NIEUW BEERTA AWS,53.1944,7.1492
06290,TWENTHE AWS,52.2731,6.8908
06310,VLISSINGEN AWS,51.4414,3.5958
06312,OOSTERSCHELDE WP,51.7667,3.6217
06316,OOSTERSCHELDE 4,51.6558,3.6939
06320,LICHTEILAND GOEREE,51.9258,3.67
06330,HOEK VAN HOLLAND AWS,51.9911,4.1217
06344,ROTTERDAM THE HAGUE AP,51.9606,4.4469
06348,CABAUW TOWER AWS,51.9692,4.9258
06350,GILZE RIJEN,51.565,4.9353
06356,HERWIJNEN AWS,51.8578,5.1453
06370,EINDHOVEN AP,51.4497,5.3769
06375,VOLKEL,51.6586,5.7067
06380,MAASTRICHT AACHEN AP,50.9053,5.7619
06391,ARCEN AWS,51.4972,6.1961
