station_id,stationname,lat,lon,height,first_seen,last_seen,n_partitions,station_type
06201,D15-FA-1,54.3256,2.9358,42.7,2009-01,2026-12,207,offshore
06203,P11-B,52.36,3.3417,41.84,2009-01,2026-12,199,offshore
06204,K14-FA-1C,53.2694,3.6278,41.8,2006-01,2026-12,234,offshore
06205,A12-CPP,55.3992,3.8103,48.35,2009-01,2026-12,207,offshore
06206,F16-A,54.1167,4.0122,43.4,2006-01,2020-12,165,offshore
06207,L9-FF-1,53.6144,4.9603,45.31,2006-01,2026-12,234,offshore
06208,AWG-1,53.4917,5.9417,40.5,2006-01,2026-12,234,offshore
06209,IJmond,52.4636,4.5175,0.0,2001-01,2026-12,304,mainland
06210,VALKENBURG VK,52.1703,4.4294,-0.2,1951-01,2016-12,784,mainland
06211,J6-A,53.8242,2.9453,45.7,2009-01,2026-12,207,offshore
06212,HOORN-A,52.9181,4.1503,50.9,2009-01,2022-12,165,mainland
06213,Hollandse Kust Noord,52.6978,4.2933,39.66,2025-01,2026-12,7,mainland
06214,Buitengaats BG-OHVS2,54.0369,6.0417,43.56,2016-01,2026-12,124,outside-NL
06215,Voorschoten,52.1397,4.4364,-1.15,2014-01,2026-12,143,mainland
06216,Hollandse Kust Zuid Alpha,52.3194,4.0422,44.0,2024-01,2026-12,21,mainland
06218,Hollandse Kust West Alpha,52.6797,3.8044,40.77,2025-01,2026-12,7,mainland
06225,IJmuiden,52.4622,4.555,4.4,1971-01,2026-12,664,mainland
06229,Texelhors,52.995,4.72,1.0,1971-01,2026-12,618,mainland
06235,De Kooy Airport,52.9269,4.7811,0.57,1951-01,2026-12,904,mainland
06239,F3-FB-1,54.8539,4.6961,50.6,1994-01,2026-12,388,offshore
06240,Schiphol Airport,52.3172,4.7897,-3.87,1951-01,2026-12,904,mainland
06242,Vlieland Vliehors,53.24,4.9208,1.72,1981-01,2026-12,476,mainland
06248,Wijdenes,52.6325,5.1736,0.8,1994-01,2026-12,382,mainland
06249,Berkhout,52.6428,4.9789,-2.4,1999-01,2026-12,326,mainland
06251,Hoorn Terschelling,53.3911,5.3458,0.73,1994-01,2026-12,384,mainland
06252,K13-A,53.2178,3.2203,37.67,1996-01,2026-12,358,offshore
06257,Wijk aan Zee,52.5053,4.6031,8.5,2001-01,2026-12,300,mainland
06258,Houtribdijk,52.6481,5.4006,7.25,2006-01,2026-12,244,mainland
06260,De Bilt,52.0989,5.1797,1.9,1951-01,2026-12,904,mainland
06265,SOESTERBERG,52.1289,5.2731,14.0,1951-01,2008-12,677,mainland
06267,Stavoren,52.8967,5.3833,-1.3,1990-01,2026-12,431,mainland
06269,Lelystad Airport,52.4483,5.5081,-4.52,1990-01,2026-12,436,mainland
06270,Leeuwarden Airport,53.2231,5.7517,0.27,1951-01,2026-12,904,mainland
06273,Marknesse,52.7019,5.8875,-3.35,1989-01,2026-12,448,mainland
06275,Deelen Airport,52.0547,5.8722,45.23,1951-01,2026-12,904,mainland
06277,Lauwersoog,53.4117,6.1992,2.9,1991-01,2026-12,422,mainland
06278,Heino,52.4344,6.2589,3.6,1991-01,2026-12,424,mainland
06279,Hoogeveen,52.7489,6.5731,15.82,1989-01,2026-12,439,mainland
06280,Groningen Airport Eelde,53.1236,6.5847,3.23,1951-01,2026-12,904,mainland
06283,Hupsel,52.0678,6.6567,29.07,1989-01,2026-12,439,mainland
06285,Huibertgat,53.5739,6.3983,0.0,1981-01,2026-12,544,mainland
06286,Nieuw Beerta,53.1944,7.1492,-0.2,1990-01,2026-12,436,mainland
06290,Twenthe Airport,52.2731,6.8908,33.02,1951-01,2026-12,904,mainland
06308,Cadzand,51.38,3.3792,0.0,1972-01,2026-12,652,mainland
06310,Vlissingen,51.4414,3.5958,8.03,1951-01,2026-12,904,mainland
06311,HOOFDPLAAT WP,51.3789,3.6719,0.0,1997-01,2016-12,235,mainland
06312,Oosterschelde,51.7667,3.6217,0.0,1982-01,2026-12,532,mainland
06313,Vlakte van de Raan,51.5036,3.2419,0.0,1997-01,2026-12,352,mainland
06315,Hansweert,51.4458,3.9975,0.0,1997-01,2026-12,352,mainland
06316,Schaar,51.6558,3.6939,0.0,1983-01,2026-12,520,mainland
06317,Borssele Alpha,51.7,3.0567,43.42,2023-01,2026-12,36,mainland
06319,Westdorpe,51.2247,3.8611,1.68,1991-01,2026-12,419,mainland
06320,Lichteiland Goeree,51.9258,3.67,24.58,1981-01,2026-12,544,mainland
06321,Europlatform,51.9978,3.275,19.0,1996-01,2026-12,358,offshore
06323,Wilhelminadorp,51.5258,3.8836,1.65,1989-01,2026-12,392,mainland
06324,Stavenisse,51.5956,4.0061,0.0,1997-01,2026-12,343,mainland
06330,Hoek van Holland,51.9911,4.1217,11.86,1971-01,2026-12,664,mainland
06331,Tholen,51.4786,4.1925,0.0,1981-01,2026-12,544,mainland
06340,Woensdrecht Airport,51.4478,4.3419,15.04,1993-01,2026-12,397,mainland
06343,Rotterdam Geulhaven,51.8919,4.3125,3.5,1991-01,2026-12,424,mainland
06344,Rotterdam Airport,51.9606,4.4469,-5.14,1956-01,2026-12,835,mainland
06348,Cabauw,51.9692,4.9258,-0.71,1986-01,2026-12,481,mainland
06350,Gilze-Rijen Airport,51.565,4.9353,11.95,1951-01,2026-12,904,mainland
06356,Herwijnen,51.8578,5.1453,0.66,1989-01,2026-12,439,mainland
06370,Eindhoven Airport,51.4631,5.3856,19.54,1951-01,2026-12,904,mainland
06375,Volkel Airport,51.6586,5.7067,19.85,1951-01,2026-12,903,mainland
06377,Ell,51.1967,5.7625,30.0,1999-01,2026-12,322,mainland
06380,Maastricht Airport,50.9053,5.7619,112.72,1951-01,2026-12,893,mainland
06391,Arcen,51.4972,6.1961,19.5,1990-01,2025-12,423,mainland
06392,Horst,51.4869,6.0561,21.88,2025-01,2026-12,17,mainland
