station,non_missing_days,calendar_days,coverage
6235,6197,12815,0.4835739367928209
6344,6197,12815,0.4835739367928209
6240,6197,12815,0.4835739367928209
6260,6197,12815,0.4835739367928209
6275,6197,12815,0.4835739367928209
6280,6197,12815,0.4835739367928209
6350,6197,12815,0.4835739367928209
6320,6197,12815,0.4835739367928209
6310,6197,12815,0.4835739367928209
6380,6197,12815,0.4835739367928209
6391,6197,12815,0.4835739367928209
6277,6196,12815,0.48349590323839253
6370,6196,12815,0.48349590323839253
6269,6196,12815,0.48349590323839253
6290,6195,12815,0.4834178696839641
6270,6195,12815,0.4834178696839641
6375,6194,12815,0.4833398361295357
6330,6194,12815,0.4833398361295357
6273,6193,12815,0.4832618025751073
6356,6192,12815,0.4831837690206789
6348,6191,12815,0.48310573546625046
6286,6189,12815,0.48294966835739367
6283,6188,12815,0.4828716348029653
6278,6187,12815,0.4827936012485369
6343,6184,12815,0.48255950058525166
6225,6183,12815,0.48248146703082323
6319,6171,12815,0.4815450643776824
6267,6164,12815,0.4809988294966836
6279,6105,12815,0.47639484978540775
6316,6073,12815,0.4738977760436988
6312,6063,12815,0.47311744049941473
6308,6049,12815,0.4720249707374171
6285,5841,12815,0.455793991416309
